Entraineur,Autostart,Deferre,Gagnant,Record,Gain,Crack,Age,Place,Recul,Sexe,Distance,Driver,Hippodrome,Date
NON,OUI,NON,,VIEUX,,OUI,OUI,F,COURT,BIGEON,VINCENNES,NON,NON,SAMEDI 01 JANVIER 2011
NON,NON,OUI,,VIEUX,,OUI,NON,F,LONG,DELAMARRE,VINCENNES,OUI,NON,SAMEDI 01 JANVIER 2011
NON,NON,OUI,,VIEUX,,OUI,OUI,H,LONG,POREE,VINCENNES,NON,NON,SAMEDI 01 JANVIER 2011
NON,NON,OUI,,VIEUX,,OUI,OUI,H,LONG,BATY,VINCENNES,NON,NON,SAMEDI 01 JANVIER 2011
OUI,NON,OUI,,VIEUX,,OUI,OUI,F,LONG,VARIN,VINCENNES,NON,NON,SAMEDI 01 JANVIER 2011
NON,NON,OUI,,VIEUX,,OUI,OUI,H,LONG,PITON,VINCENNES,NON,OUI,SAMEDI 01 JANVIER 2011
OUI,OUI,NON,,MEDIUM,,OUI,NON,F,COURT,TRIOMPHE,VINCENNES,NON,NON,SAMEDI 01 JANVIER 2011
OUI,OUI,OUI,,MEDIUM,,OUI,NON,F,COURT,DERIEUX,VINCENNES,NON,OUI,SAMEDI 01 JANVIER 2011
OUI,OUI,NON,,MEDIUM,,OUI,NON,F,COURT,BENGALA,VINCENNES,OUI,NON,SAMEDI 01 JANVIER 2011
NON,OUI,NON,,MEDIUM,,OUI,NON,F,COURT,LE BELLER,VINCENNES,NON,NON,SAMEDI 01 JANVIER 2011
OUI,OUI,NON,,MEDIUM,,OUI,NON,F,COURT,BAUDRON,VINCENNES,NON,NON,SAMEDI 01 JANVIER 2011
OUI,NON,OUI,,MEDIUM,,OUI,NON,M,COURT,BAUDRON,VINCENNES,NON,NON,DIMANCHE 01 JANVIER 2012
NON,NON,NON,,MEDIUM,,OUI,NON,H,COURT,VERCRUYSSE,VINCENNES,NON,NON,DIMANCHE 01 JANVIER 2012
OUI,NON,OUI,,MEDIUM,,OUI,NON,H,COURT,DUBOIS,VINCENNES,NON,OUI,DIMANCHE 01 JANVIER 2012
NON,NON,OUI,,MEDIUM,,OUI,NON,H,COURT,MARTENS,VINCENNES,NON,NON,DIMANCHE 01 JANVIER 2012
NON,NON,NON,,MEDIUM,,OUI,NON,H,COURT,ABRIVARD,VINCENNES,OUI,NON,DIMANCHE 01 JANVIER 2012
NON,OUI,OUI,,VIEUX,,OUI,NON,F,COURT,NIVARD,VINCENNES,NON,OUI,DIMANCHE 01 JANVIER 2012
OUI,OUI,OUI,,VIEUX,,OUI,NON,F,COURT,GOCCIADORO,VINCENNES,NON,NON,DIMANCHE 01 JANVIER 2012
OUI,OUI,NON,,VIEUX,,OUI,NON,F,COURT,OUVRIE,VINCENNES,NON,NON,DIMANCHE 01 JANVIER 2012
NON,OUI,OUI,,VIEUX,,OUI,NON,M,COURT,DREUX,VINCENNES,OUI,NON,DIMANCHE 01 JANVIER 2012
OUI,OUI,NON,,VIEUX,,OUI,OUI,M,COURT,MARTENS,VINCENNES,NON,NON,DIMANCHE 01 JANVIER 2012
NON,OUI,OUI,,VIEUX,,OUI,NON,M,COURT,NIVARD,VINCENNES,NON,OUI,DIMANCHE 01 JANVIER 2012
OUI,OUI,OUI,,VIEUX,,OUI,NON,M,COURT,LEVESQUE,VINCENNES,OUI,NON,DIMANCHE 01 JANVIER 2012
NON,OUI,NON,,VIEUX,,OUI,OUI,M,COURT,MARTENS,VINCENNES,NON,NON,DIMANCHE 01 JANVIER 2012
OUI,OUI,OUI,,VIEUX,,OUI,OUI,F,COURT,LEBLANC,VINCENNES,NON,NON,DIMANCHE 01 JANVIER 2012
NON,OUI,OUI,,VIEUX,,OUI,OUI,F,COURT,RAFFIN,VINCENNES,NON,NON,DIMANCHE 01 JANVIER 2012
NON,NON,OUI,,VIEUX,,OUI,NON,M,LONG,ANDREGHETTI,VINCENNES,NON,OUI,DIMANCHE 01 JANVIER 2012
NON,NON,OUI,,VIEUX,,OUI,NON,H,LONG,LOCQUENEUX,VINCENNES,NON,NON,DIMANCHE 01 JANVIER 2012
OUI,NON,OUI,,VIEUX,,OUI,NON,H,LONG,BAZIRE,VINCENNES,NON,NON,DIMANCHE 01 JANVIER 2012
OUI,NON,NON,,VIEUX,,OUI,OUI,H,LONG,DERSOIR,VINCENNES,NON,NON,DIMANCHE 01 JANVIER 2012
OUI,NON,OUI,,VIEUX,,OUI,OUI,F,LONG,DUVALDESTIN,VINCENNES,OUI,NON,DIMANCHE 01 JANVIER 2012
NON,OUI,OUI,,VIEUX,,OUI,NON,M,COURT,PITON,VINCENNES,OUI,OUI,DIMANCHE 01 JANVIER 2012
OUI,OUI,OUI,,VIEUX,,OUI,NON,H,COURT,MARY,VINCENNES,NON,NON,DIMANCHE 01 JANVIER 2012
NON,OUI,OUI,,VIEUX,,OUI,NON,M,COURT,RAFFIN,VINCENNES,NON,NON,DIMANCHE 01 JANVIER 2012
OUI,OUI,NON,,VIEUX,,OUI,OUI,H,COURT,ABRIVARD,VINCENNES,NON,NON,DIMANCHE 01 JANVIER 2012
NON,OUI,OUI,,VIEUX,,OUI,OUI,H,COURT,LOCQUENEUX,VINCENNES,NON,NON,DIMANCHE 01 JANVIER 2012
NON,NON,NON,,MEDIUM,,OUI,NON,F,LONG,VERVA,VINCENNES,NON,NON,DIMANCHE 01 JANVIER 2012
OUI,NON,NON,,MEDIUM,,OUI,NON,F,LONG,ANNE,VINCENNES,NON,OUI,DIMANCHE 01 JANVIER 2012
OUI,NON,OUI,,MEDIUM,,OUI,NON,F,LONG,DREUX,VINCENNES,NON,NON,DIMANCHE 01 JANVIER 2012
NON,NON,OUI,,MEDIUM,,OUI,NON,F,LONG,ABRIVARD,VINCENNES,NON,NON,DIMANCHE 01 JANVIER 2012
OUI,NON,NON,,MEDIUM,,OUI,NON,F,LONG,BIGEON,VINCENNES,OUI,NON,DIMANCHE 01 JANVIER 2012
