Entraineur,Autostart,Deferre,Favori,Gagnant,Outsider,Age,Place,Recul,Sexe,Distance,Driver,Hippodrome,Date
NON,NON,NON,NON,NON,OUI,6,NON,NON,H,2700,AUTRES,VINCENNES,
OUI,NON,NON,OUI,NON,NON,6,NON,NON,H,2700,AUTRES,VINCENNES,
NON,NON,NON,NON,NON,NON,6,NON,NON,H,2700,AUTRES,VINCENNES,
OUI,NON,NON,OUI,NON,NON,4,NON,NON,M,2700,BAZIRE,VINCENNES,
NON,NON,NON,NON,NON,NON,4,NON,NON,H,2700,AUTRES,VINCENNES,
OUI,NON,NON,OUI,NON,NON,4,NON,NON,M,2700,AUTRES,VINCENNES,
NON,NON,NON,NON,NON,NON,4,NON,NON,M,2700,NIVARD,VINCENNES,
NON,NON,NON,NON,NON,NON,4,NON,NON,M,2700,VERCRUYSSE,VINCENNES,
OUI,OUI,NON,OUI,NON,NON,8,NON,OUI,H,2100,AUTRES,VINCENNES,
NON,OUI,NON,OUI,NON,NON,6,NON,NON,F,2100,AUTRES,VINCENNES,
NON,OUI,NON,NON,NON,NON,7,NON,NON,M,2100,VERCRUYSSE,VINCENNES,
NON,OUI,NON,NON,NON,NON,6,NON,OUI,F,2100,BAZIRE,VINCENNES,
NON,OUI,NON,NON,NON,NON,7,NON,NON,M,2100,VERVA,VINCENNES,
NON,NON,NON,OUI,NON,NON,7,NON,NON,F,2850,AUTRES,VINCENNES,
NON,NON,NON,NON,NON,NON,8,NON,NON,F,2850,BAZIRE,VINCENNES,
OUI,NON,NON,NON,NON,NON,6,NON,NON,F,2850,ABRIVARD,VINCENNES,
NON,NON,NON,OUI,NON,NON,6,NON,NON,F,2850,NIVARD,VINCENNES,
OUI,NON,NON,NON,NON,NON,6,NON,NON,F,2850,AUTRES,VINCENNES,
NON,NON,NON,NON,NON,NON,6,NON,NON,F,2850,AUTRES,VINCENNES,
OUI,NON,NON,OUI,NON,NON,5,OUI,NON,M,2850,AUTRES,VINCENNES,
OUI,NON,NON,NON,NON,NON,7,NON,NON,M,2850,AUTRES,VINCENNES,
NON,NON,NON,NON,NON,NON,7,NON,NON,F,2850,ABRIVARD,VINCENNES,
NON,NON,NON,OUI,NON,NON,6,NON,NON,M,2850,AUTRES,VINCENNES,
NON,NON,NON,NON,NON,NON,3,NON,NON,M,2700,RAFFIN,VINCENNES,
NON,NON,NON,NON,NON,NON,3,NON,NON,M,2700,BAZIRE,VINCENNES,
NON,NON,NON,NON,NON,OUI,3,NON,NON,F,2700,AUTRES,VINCENNES,
NON,NON,NON,NON,NON,NON,3,NON,NON,M,2700,AUTRES,VINCENNES,
NON,NON,NON,NON,NON,NON,3,NON,NON,M,2700,VERCRUYSSE,VINCENNES,
OUI,NON,NON,OUI,NON,NON,7,OUI,OUI,F,2850,AUTRES,VINCENNES,
OUI,NON,NON,NON,NON,NON,7,NON,OUI,F,2850,AUTRES,VINCENNES,
OUI,NON,NON,OUI,NON,NON,7,NON,OUI,H,2850,AUTRES,VINCENNES,
NON,NON,NON,OUI,NON,NON,8,OUI,OUI,F,2850,AUTRES,VINCENNES,
OUI,NON,NON,NON,NON,NON,7,NON,OUI,H,2850,NIVARD,VINCENNES,
OUI,OUI,NON,OUI,NON,NON,6,OUI,NON,H,2100,AUTRES,VINCENNES,
NON,OUI,NON,OUI,NON,NON,6,OUI,NON,H,2100,BAZIRE,VINCENNES,
OUI,OUI,NON,NON,NON,NON,6,NON,NON,F,2100,AUTRES,VINCENNES,
OUI,OUI,NON,NON,NON,NON,6,NON,OUI,H,2100,AUTRES,VINCENNES,
OUI,OUI,NON,OUI,NON,NON,6,NON,NON,M,2100,AUTRES,VINCENNES,
NON,NON,NON,OUI,NON,NON,7,NON,OUI,F,2850,AUTRES,VINCENNES,
NON,NON,NON,NON,NON,NON,8,NON,OUI,H,2850,VERVA,VINCENNES,
OUI,NON,NON,OUI,NON,NON,8,NON,NON,M,2850,VERCRUYSSE,VINCENNES,
NON,NON,NON,OUI,NON,NON,7,NON,OUI,H,2850,RAFFIN,VINCENNES,
NON,NON,NON,OUI,NON,NON,7,NON,OUI,H,2850,NIVARD,VINCENNES,
NON,OUI,NON,OUI,NON,NON,5,NON,OUI,H,2100,AUTRES,VINCENNES,
NON,OUI,NON,NON,NON,NON,5,NON,NON,H,2100,VERCRUYSSE,VINCENNES,
OUI,OUI,NON,NON,NON,NON,4,OUI,OUI,M,2100,AUTRES,VINCENNES,
NON,OUI,NON,NON,NON,NON,5,NON,NON,F,2100,ABRIVARD,VINCENNES,
NON,OUI,NON,OUI,NON,NON,5,OUI,NON,M,2100,AUTRES,VINCENNES,
NON,NON,NON,OUI,NON,NON,7,NON,NON,H,2850,AUTRES,VINCENNES,
NON,NON,NON,NON,NON,NON,5,NON,NON,F,2850,AUTRES,VINCENNES,
NON,NON,NON,OUI,NON,NON,5,NON,OUI,M,2850,BAZIRE,VINCENNES,
OUI,NON,NON,NON,NON,NON,8,NON,NON,H,2850,AUTRES,VINCENNES,
NON,NON,NON,NON,NON,NON,8,NON,NON,H,2850,OUVRIE,VINCENNES,
OUI,NON,OUI,NON,NON,NON,7,NON,NON,F,2700,AUTRES,VINCENNES,
OUI,NON,OUI,OUI,NON,NON,7,NON,NON,H,2700,AUTRES,VINCENNES,
NON,NON,OUI,NON,NON,NON,10,NON,NON,H,2700,RAFFIN,VINCENNES,
NON,NON,NON,NON,NON,NON,7,NON,NON,F,2700,AUTRES,VINCENNES,
NON,NON,OUI,NON,NON,NON,7,NON,NON,F,2700,BAZIRE,VINCENNES,
OUI,NON,OUI,NON,NON,NON,6,NON,NON,F,2700,ABRIVARD,VINCENNES,
NON,NON,OUI,OUI,NON,NON,6,NON,NON,F,2700,NIVARD,VINCENNES,
NON,NON,OUI,NON,NON,NON,7,NON,NON,F,2700,AUTRES,VINCENNES,
NON,NON,OUI,NON,NON,NON,6,NON,NON,F,2700,LEVESQUE,VINCENNES,
OUI,NON,OUI,NON,NON,NON,6,NON,NON,F,2700,AUTRES,VINCENNES,
OUI,NON,OUI,NON,NON,NON,4,NON,NON,F,2700,AUTRES,VINCENNES,
OUI,NON,NON,OUI,NON,NON,4,NON,NON,F,2700,BIGEON,VINCENNES,
OUI,NON,NON,NON,NON,NON,4,NON,NON,F,2700,AUTRES,VINCENNES,
NON,NON,OUI,NON,NON,NON,4,NON,NON,F,2700,AUTRES,VINCENNES,
NON,NON,NON,NON,NON,NON,4,NON,NON,F,2700,VERVA,VINCENNES,
OUI,OUI,OUI,OUI,NON,NON,4,OUI,NON,F,2100,AUTRES,VINCENNES,
OUI,OUI,NON,OUI,NON,NON,4,NON,NON,M,2100,AUTRES,VINCENNES,
OUI,OUI,OUI,NON,NON,NON,4,NON,OUI,M,2100,AUTRES,VINCENNES,
NON,OUI,NON,NON,NON,NON,4,NON,NON,M,2100,AUTRES,VINCENNES,
NON,OUI,OUI,NON,NON,NON,4,NON,OUI,M,2100,RAFFIN,VINCENNES,
OUI,NON,NON,OUI,NON,NON,6,NON,NON,F,2700,BIGEON,VINCENNES,
NON,NON,OUI,OUI,NON,NON,6,NON,NON,F,2700,RAFFIN,VINCENNES,
NON,NON,NON,OUI,NON,NON,6,NON,NON,F,2700,NIVARD,VINCENNES,
OUI,NON,OUI,NON,NON,NON,6,NON,NON,F,2700,AUTRES,VINCENNES,
NON,NON,OUI,NON,NON,NON,6,NON,NON,F,2700,VERVA,VINCENNES,
NON,NON,OUI,OUI,OUI,NON,6,NON,OUI,H,2850,NIVARD,VINCENNES,
OUI,NON,NON,NON,NON,NON,6,NON,NON,H,2850,AUTRES,VINCENNES,
OUI,NON,NON,OUI,NON,NON,6,OUI,NON,H,2850,AUTRES,VINCENNES,
NON,NON,OUI,OUI,NON,NON,5,NON,NON,M,2850,VERCRUYSSE,VINCENNES,
OUI,NON,NON,NON,NON,NON,6,NON,OUI,M,2850,AUTRES,VINCENNES,
OUI,NON,OUI,OUI,NON,NON,6,NON,NON,F,2700,ABRIVARD,VINCENNES,
NON,NON,OUI,OUI,NON,NON,6,NON,NON,F,2700,NIVARD,VINCENNES,
NON,NON,NON,NON,NON,NON,7,NON,NON,F,2700,VERCRUYSSE,VINCENNES,
NON,NON,OUI,OUI,NON,NON,6,NON,NON,F,2700,LEVESQUE,VINCENNES,
