Driver;Entraineur;Distance;Recul;Autostart;Deferre;Age;Sexe;Place;Gagnant;Favori;Outsider;Hippodrome;Date
Ch. Bigeon;OUI;2850;NON;NON;NON;6;F;NON;NON;OUI;NON;VINCENNES;
Ch.J. Bigeon;OUI;2850;NON;NON;NON;6;F;NON;NON;NON;NON;VINCENNES;
G. Gelormini;NON;2850;NON;NON;NON;6;F;NON;NON;NON;NON;VINCENNES;
D. Thomain;NON;2850;NON;NON;NON;6;F;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;NON;2850;NON;NON;NON;6;F;NON;NON;OUI;NON;VINCENNES;
F.P. Bossuet;OUI;2850;OUI;NON;NON;6;F;NON;NON;OUI;NON;VINCENNES;
W. Bigeon;OUI;2850;NON;NON;NON;6;H;NON;NON;OUI;NON;VINCENNES;
E. Raffin;NON;2850;OUI;NON;NON;7;H;NON;NON;OUI;NON;VINCENNES;
D. Locqueneux;NON;2850;NON;NON;NON;7;H;NON;NON;NON;NON;VINCENNES;
Th. Levesque;NON;2850;OUI;NON;NON;7;H;NON;NON;NON;NON;VINCENNES;
R.Ch. Larue;OUI;2700;NON;NON;NON;5;H;NON;NON;NON;OUI;VINCENNES;
A. Abrivard;NON;2700;NON;NON;NON;5;H;NON;NON;OUI;NON;VINCENNES;
D. Locqueneux;NON;2700;NON;NON;NON;5;H;NON;NON;NON;NON;VINCENNES;
F. Ouvrie;NON;2700;NON;NON;NON;5;H;NON;NON;NON;NON;VINCENNES;
E. Raffin;NON;2700;NON;NON;NON;5;H;NON;NON;OUI;NON;VINCENNES;
P. Levesque;NON;2700;NON;NON;NON;6;H;NON;NON;OUI;NON;VINCENNES;
H. Sionneau;OUI;2700;NON;NON;NON;6;M;NON;NON;NON;NON;VINCENNES;
S. Desmarres;OUI;2700;NON;NON;NON;8;H;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;OUI;2700;NON;NON;NON;6;H;NON;NON;OUI;NON;VINCENNES;
J.Ph. Mary;OUI;2700;NON;NON;NON;6;H;NON;NON;NON;NON;VINCENNES;
J.L.Cl. Derso;OUI;2700;NON;NON;NON;6;H;NON;NON;OUI;NON;VINCENNES;
M. Abrivard;OUI;2700;NON;NON;NON;6;H;OUI;NON;OUI;NON;VINCENNES;
Th. Viet;NON;2700;NON;NON;NON;6;H;NON;NON;NON;OUI;VINCENNES;
R. Bergh;OUI;2700;NON;NON;NON;6;H;NON;NON;OUI;NON;VINCENNES;
D. Thomain;NON;2700;NON;NON;NON;6;H;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;OUI;2700;NON;NON;NON;4;M;NON;NON;OUI;NON;VINCENNES;
J.L.Cl. Derso;NON;2700;NON;NON;NON;4;H;NON;NON;NON;NON;VINCENNES;
F. Anne;OUI;2700;NON;NON;NON;4;M;NON;NON;OUI;NON;VINCENNES;
F. Nivard;NON;2700;NON;NON;NON;4;M;NON;NON;NON;NON;VINCENNES;
P. Vercruysse;NON;2700;NON;NON;NON;4;M;NON;NON;NON;NON;VINCENNES;
J.L.Cl. Derso;OUI;2100;OUI;OUI;NON;8;H;NON;NON;OUI;NON;VINCENNES;
