;Drivers;Entraineur;Distance;Recul/Ligne;Autostart;Déferré;AGE;Sexe;Parmi 5 premiers dernière 5 courses;Gagné 3 dernières courses;côte < 10/1;côte > 70/1;;
;J.L.Cl. Derso;OUI;2850;NON;NON;NON;8;H;NON;NON;NON;NON;;
;F. Ouvrie;NON;2850;NON;NON;NON;8;H;NON;NON;NON;NON;;
;Ch. Martens;OUI;2700;NON;NON;OUI;7;F;NON;NON;NON;NON;;
;J.L.Cl. Derso;OUI;2700;NON;NON;OUI;7;H;NON;NON;OUI;NON;;
;E. Raffin;NON;2700;NON;NON;OUI;10;H;NON;NON;NON;NON;;
;Mlle J. Lindq;NON;2700;NON;NON;NON;7;F;NON;NON;NON;NON;;
;J.M. Bazire;NON;2700;NON;NON;OUI;7;F;NON;NON;NON;NON;;
;A. Abrivard;OUI;2700;NON;NON;OUI;6;F;NON;NON;NON;NON;;
;F. Nivard;NON;2700;NON;NON;OUI;6;F;NON;NON;OUI;NON;;
;A. Barrier;NON;2700;NON;NON;OUI;7;F;NON;NON;NON;NON;;
;P. Levesque;NON;2700;NON;NON;OUI;6;F;NON;NON;NON;NON;;
;L. Baudron;OUI;2700;NON;NON;OUI;6;F;NON;NON;NON;NON;;
;S. Roger;OUI;2700;NON;NON;OUI;4;F;NON;NON;NON;NON;;
;W. Bigeon;OUI;2700;NON;NON;NON;4;F;NON;NON;OUI;NON;;
;R. Metayer;OUI;2700;NON;NON;NON;4;F;NON;NON;NON;NON;;
;A. Barrier;NON;2700;NON;NON;OUI;4;F;NON;NON;NON;NON;;
;P.Y. Verva;NON;2700;NON;NON;NON;4;F;NON;NON;NON;NON;;
;M. Mottier;OUI;2100;NON;OUI;OUI;4;F;OUI;NON;OUI;NON;;
;L. Baudron;OUI;2100;NON;OUI;NON;4;M;NON;NON;OUI;NON;;
;E. Lambertz;OUI;2100;OUI;OUI;OUI;4;M;NON;NON;NON;NON;;
;Johnny Takter;NON;2100;NON;OUI;NON;4;M;NON;NON;NON;NON;;
