Entraineur,Autostart,Deferre,Favori,Gagnant,Outsider,Age,Place,Recul,Sexe,Distance,Driver,Hippodrome,Date
OUI,OUI,OUI, ,, ,MEDIUM,,OUI,H,COURT,,VINCENNES,1 JANVIER 2017
NON,OUI,NON, ,, ,MEDIUM,,OUI,M,COURT,,VINCENNES,1 JANVIER 2017
OUI,NON,NON,NON,,OUI,MEDIUM,,NON,H,LONG,,VINCENNES,2 JANVIER 2016
NON,NON,OUI,NON,,OUI,MEDIUM,,NON,H,LONG,,VINCENNES,2 JANVIER 2016
NON,NON,OUI,NON,,NON,MEDIUM,,OUI,F,LONG,,VINCENNES,2 JANVIER 2016
NON,NON,NON,NON,,NON,MEDIUM,,OUI,H,LONG,,VINCENNES,2 JANVIER 2016
NON,NON,OUI,NON,,NON,VIEUX,,OUI,H,LONG,,VINCENNES,2 JANVIER 2016
OUI,NON,NON,NON,,OUI,MEDIUM,,NON,H,COURT,,VINCENNES,2 JANVIER 2016
NON,NON,OUI,NON,,NON,MEDIUM,,NON,H,COURT,RAFFIN,VINCENNES,2 JANVIER 2016
OUI,NON,OUI,NON,,OUI,MEDIUM,,NON,H,COURT,,VINCENNES,2 JANVIER 2016
NON,NON,NON,NON,,NON,MEDIUM,,NON,H,COURT,,VINCENNES,2 JANVIER 2016
NON,NON,OUI,NON,,OUI,MEDIUM,,NON,H,COURT,,VINCENNES,2 JANVIER 2016
OUI,OUI,NON, ,, ,MEDIUM,,NON,H,COURT,,VINCENNES,2 JANVIER 2016
NON,OUI,NON, ,, ,MEDIUM,,NON,M,COURT,,VINCENNES,2 JANVIER 2016
OUI,OUI,NON, ,, ,MEDIUM,,NON,H,COURT,,VINCENNES,2 JANVIER 2016
OUI,OUI,NON, ,, ,MEDIUM,,OUI,M,COURT,BIGEON,VINCENNES,2 JANVIER 2016
NON,OUI,OUI, ,, ,MEDIUM,,OUI,H,COURT,NIVARD,VINCENNES,2 JANVIER 2016
OUI,NON,NON, ,, ,MEDIUM,,NON,F,LONG,DREUX,VINCENNES,2 JANVIER 2016
NON,NON,NON, ,, ,MEDIUM,,NON,F,LONG,ABRIVARD,VINCENNES,2 JANVIER 2016
OUI,NON,NON, ,, ,MEDIUM,,OUI,F,LONG,,VINCENNES,2 JANVIER 2016
NON,NON,OUI, ,, ,MEDIUM,,OUI,F,LONG,BAZIRE,VINCENNES,2 JANVIER 2016
NON,NON,OUI, ,, ,MEDIUM,,OUI,F,LONG,NIVARD,VINCENNES,2 JANVIER 2016
