Outsider,Sexe,Deferre,Recul,Entraineur,Distance,Favori,Autostart,Age,Gagnant,Place,Driver,Tree,Selected
NON,F,OUI,NON,NON,COURT,NON,NON,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
NON,F,NON,NON,NON,COURT,OUI,NON,JEUNE,NON,NON,RAFFIN,RAFFIN,No
NON,F,OUI,NON,NON,LONG,NON,NON,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
NON,H,OUI,NON,NON,LONG,OUI,NON,MEDIUM,NON,NON,BAZIRE,BAZIRE,No
NON,M,NON,NON,NON,LONG,OUI,NON,JEUNE,NON,NON,NIVARD,NIVARD,No
NON,H,OUI,NON,NON,LONG,NON,NON,MEDIUM,NON,NON,BAZIRE,NIVARD,No
NON,M,OUI,NON,NON,COURT,OUI,OUI,MEDIUM,NON,NON,RAFFIN,RAFFIN,No
NON,F,NON,OUI,NON,LONG,NON,NON,MEDIUM,NON,NON,RAFFIN,ABRIVARD,No
NON,H,OUI,OUI,NON,LONG,OUI,NON,JEUNE,NON,NON,BAZIRE,BAZIRE,No
NON,H,NON,NON,NON,LONG,OUI,NON,JEUNE,NON,NON,BAZIRE,BAZIRE,No
OUI,H,NON,NON,NON,LONG,NON,NON,JEUNE,NON,NON,VERVA,MARTENS,No
NON,M,NON,NON,NON,LONG,NON,NON,JEUNE,NON,NON,OUVRIE,ABRIVARD,No
NON,M,NON,NON,NON,LONG,NON,NON,JEUNE,NON,NON,MARTENS,ABRIVARD,No
NON,H,OUI,NON,NON,COURT,OUI,OUI,MEDIUM,NON,NON,BAZIRE,BAZIRE,No
NON,F,NON,NON,NON,LONG,OUI,NON,JEUNE,NON,NON,OUVRIE,OUVRIE,No
NON,H,OUI,NON,NON,COURT,OUI,OUI,MEDIUM,NON,NON,BAZIRE,BAZIRE,No
NON,H,OUI,OUI,OUI,LONG,OUI,NON,MEDIUM,NON,NON,BAZIRE,NIVARD,No
NON,F,NON,OUI,NON,LONG,NON,NON,MEDIUM,NON,NON,VERVA,ABRIVARD,No
NON,M,OUI,OUI,NON,LONG,OUI,NON,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
NON,H,OUI,OUI,NON,COURT,NON,OUI,VIEUX,NON,NON,NIVARD,ABRIVARD,No
OUI,M,NON,NON,NON,COURT,NON,OUI,JEUNE,NON,NON,RAFFIN,BAZIRE,No
NON,F,OUI,OUI,NON,COURT,NON,OUI,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
NON,F,OUI,OUI,NON,COURT,NON,OUI,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
NON,H,OUI,NON,NON,LONG,NON,NON,MEDIUM,NON,NON,NIVARD,NIVARD,No
NON,H,NON,NON,NON,LONG,OUI,NON,MEDIUM,NON,NON,RAFFIN,BAZIRE,No
NON,F,OUI,NON,OUI,LONG,OUI,NON,JEUNE,NON,OUI,BAZIRE,BAZIRE,No
OUI,F,OUI,NON,OUI,LONG,NON,NON,JEUNE,NON,NON,VERVA,BAZIRE,No
NON,H,NON,NON,NON,LONG,NON,NON,MEDIUM,NON,NON,NIVARD,NIVARD,No
NON,M,NON,NON,OUI,COURT,OUI,NON,JEUNE,NON,NON,BAZIRE,BIGEON,No
NON,F,NON,OUI,NON,LONG,NON,NON,MEDIUM,NON,NON,OUVRIE,ABRIVARD,No
NON,H,OUI,OUI,NON,LONG,OUI,NON,MEDIUM,NON,NON,NIVARD,BAZIRE,No
NON,F,OUI,NON,OUI,COURT,OUI,NON,JEUNE,NON,NON,BAZIRE,BAZIRE,No
NON,H,OUI,NON,NON,COURT,OUI,OUI,MEDIUM,NON,NON,MARTENS,BAZIRE,No
OUI,H,NON,NON,NON,LONG,NON,NON,JEUNE,NON,NON,MARTENS,MARTENS,No
NON,H,OUI,OUI,NON,LONG,OUI,NON,MEDIUM,NON,NON,MARTENS,BAZIRE,No
NON,H,OUI,NON,NON,COURT,OUI,NON,MEDIUM,NON,NON,BAZIRE,BAZIRE,No
NON,F,NON,NON,NON,LONG,NON,NON,JEUNE,NON,NON,OUVRIE,OUVRIE,No
NON,M,NON,NON,NON,LONG,OUI,NON,JEUNE,NON,NON,ABRIVARD,NIVARD,No
NON,H,NON,NON,NON,LONG,OUI,NON,JEUNE,NON,NON,BAZIRE,BAZIRE,No
NON,H,OUI,NON,NON,COURT,NON,NON,MEDIUM,NON,NON,RAFFIN,RAFFIN,No
OUI,H,OUI,NON,OUI,LONG,NON,NON,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
NON,M,NON,OUI,NON,LONG,NON,NON,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
NON,H,NON,OUI,OUI,LONG,OUI,NON,JEUNE,NON,NON,NIVARD,NIVARD,No
NON,H,NON,OUI,NON,COURT,NON,OUI,JEUNE,NON,NON,OUVRIE,OUVRIE,No
NON,H,OUI,OUI,OUI,LONG,NON,NON,MEDIUM,NON,NON,NIVARD,NIVARD,No
NON,F,NON,OUI,NON,LONG,OUI,NON,MEDIUM,NON,NON,OUVRIE,BAZIRE,No
NON,M,NON,OUI,NON,LONG,OUI,NON,JEUNE,NON,NON,BAZIRE,BAZIRE,No
