Outsider,Sexe,Deferre,Recul,Entraineur,Distance,Favori,Autostart,Age,Gagnant,Place,Driver,Tree,Selected
NON,H,OUI,OUI,NON,LONG,OUI,NON,MEDIUM,NON,NON,MARTENS,BAZIRE,No
NON,H,NON,NON,NON,LONG,OUI,NON,JEUNE,NON,NON,NIVARD,ABRIVARD,No
NON,M,OUI,NON,NON,LONG,NON,NON,JEUNE,OUI,NON,RAFFIN,ABRIVARD,No
NON,H,OUI,NON,NON,COURT,OUI,NON,MEDIUM,NON,OUI,RAFFIN,NIVARD,No
NON,H,NON,NON,NON,LONG,NON,NON,JEUNE,OUI,NON,BAZIRE,BAZIRE,No
NON,H,OUI,NON,NON,LONG,NON,NON,JEUNE,OUI,NON,ABRIVARD,BAZIRE,No
NON,M,NON,NON,NON,LONG,NON,NON,JEUNE,NON,OUI,ABRIVARD,ABRIVARD,No
NON,F,OUI,NON,NON,COURT,OUI,NON,JEUNE,OUI,NON,ABRIVARD,ABRIVARD,No
NON,F,NON,NON,OUI,COURT,NON,NON,JEUNE,OUI,NON,BIGEON,BIGEON,No
NON,F,OUI,NON,OUI,COURT,NON,NON,JEUNE,OUI,NON,OUVRIE,BAZIRE,No
OUI,H,NON,NON,OUI,LONG,NON,NON,JEUNE,NON,NON,RAFFIN,BIGEON,No
NON,H,NON,OUI,NON,LONG,OUI,NON,JEUNE,NON,NON,NIVARD,NIVARD,No
NON,F,OUI,OUI,NON,LONG,OUI,NON,JEUNE,OUI,NON,RAFFIN,NIVARD,No
NON,H,OUI,OUI,NON,LONG,NON,NON,JEUNE,NON,NON,RAFFIN,BAZIRE,No
NON,M,OUI,OUI,NON,LONG,OUI,NON,JEUNE,OUI,OUI,NIVARD,RAFFIN,No
OUI,F,OUI,OUI,NON,LONG,NON,NON,JEUNE,OUI,NON,VERVA,VERVA,No
NON,F,OUI,OUI,NON,LONG,OUI,NON,JEUNE,OUI,NON,NIVARD,NIVARD,No
NON,F,NON,NON,NON,LONG,NON,NON,JEUNE,OUI,NON,NIVARD,OUVRIE,No
NON,F,NON,NON,OUI,LONG,OUI,NON,JEUNE,OUI,OUI,ABRIVARD,ABRIVARD,No
NON,M,OUI,NON,NON,LONG,NON,NON,MEDIUM,OUI,NON,ABRIVARD,ABRIVARD,No
OUI,H,NON,OUI,NON,LONG,NON,NON,JEUNE,OUI,NON,OUVRIE,VERVA,No
OUI,F,NON,NON,NON,LONG,NON,NON,JEUNE,NON,NON,OUVRIE,OUVRIE,No
NON,F,NON,NON,OUI,COURT,NON,OUI,MEDIUM,OUI,NON,VERVA,VERVA,No
NON,M,OUI,NON,NON,LONG,OUI,NON,JEUNE,OUI,NON,NIVARD,RAFFIN,No
OUI,M,NON,NON,NON,LONG,NON,NON,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
